timestamp,fuente,categoria,nombre,marca,precio_min,precio_max,precio,presentacion,ean,sucursales_disponibles,lat,lng
2025-11-21 21:09:16.411741,PreciosClaros,yogur,Chocolate con Yogur Frutilla Cofler 64 Gr,COFLER,3700.0,3700.0,3700.0,64.0 gr,7790580123642,2,-34.6037,-58.3816
2025-11-21 21:09:16.411746,PreciosClaros,yogur,Tableta de Chocolate con Yogur Frutilla Cadbury 29 Gr,CADBURY,2550.0,2600.0,2550.0,29.0 gr,7622201818654,3,-34.6037,-58.3816
2025-11-21 21:09:16.411751,PreciosClaros,yogur,Tableta de Chocolate con Yogur Frutilla Cadbury 80 Gr,CADBURY,7000.0,7000.0,7000.0,80.0 gr,7622201818715,2,-34.6037,-58.3816
2025-11-21 21:09:16.411757,PreciosClaros,yogur,Tableta de Chocolate Yogur Frutilla Cadbury 160 Gr,CADBURY,12700.0,12950.0,12700.0,160.0 gr,7622201818692,2,-34.6037,-58.3816
2025-11-21 21:09:16.411763,PreciosClaros,yogur,Barr Frut Bosq Yogur,DIA,2070.0,2070.0,2070.0,3.0 ud,8480017291738,23,-34.6037,-58.3816
2025-11-21 21:09:16.411770,PreciosClaros,yogur,Dnn Yogurisimo Bebible Frutilla Fort 190gr,YOGURISIMO,2824.0,3100.0,2824.0,0.18 kg,7791337009387,28,-34.6037,-58.3816
2025-11-21 21:09:16.411774,PreciosClaros,yogur,Dnn Yogurisimo Bebible Vainilla Fort 190gr,YOGURISIMO,2824.0,3100.0,2824.0,0.18 kg,7791337009356,5,-34.6037,-58.3816
2025-11-21 21:09:16.411787,PreciosClaros,yogur,Yog.Beb.C/Prob.P/Desc.Sab.Fru. Yogurisimo Sch 1100 Grm,YOGURISIMO,5912.0,6200.0,5912.0,1100.0 grm,7791337008625,4,-34.6037,-58.3816
2025-11-21 21:09:16.411795,PreciosClaros,yogur,Yog.Beb.C/Prob.P/Desc.Sab.Vai. Yogurisimo Sch 1100 Grm,YOGURISIMO,5912.0,6200.0,5912.0,1100.0 grm,7791337008618,4,-34.6037,-58.3816
2025-11-21 21:09:16.411802,PreciosClaros,yogur,Yog.Beb.Sab.Natural Yogurisimo Sch 900 Grm,YOGURISIMO,5375.0,5376.0,5375.0,900.0 grm,7791337009776,25,-34.6037,-58.3816
2025-11-21 21:09:16.411808,PreciosClaros,yogur,Barra Frut C/Yogur,DIA,710.0,710.0,710.0,25.0 gr,8480017298485,23,-34.6037,-58.3816
2025-11-21 21:09:20.892566,PreciosClaros,arroz grano largo,Arroz Grano Largo Cañuelas 1 Kg,CAÑUELAS,1600.0,1605.0,1600.0,1.0 kg,7792180139535,25,-34.6037,-58.3816
2025-11-21 21:09:20.892581,PreciosClaros,arroz grano largo,Arroz Grano Largo Cañuelas 500 Gr,CAÑUELAS,990.0,990.0,990.0,500.0 gr,7792180139542,2,-34.6037,-58.3816
2025-11-21 21:09:20.892588,PreciosClaros,arroz grano largo,Arroz Grano Largo Fino Ita Caabo Molinos Ala 1 Kg,MOLINOS ALA,2570.0,2600.0,2570.0,1.0 kg,7791120100819,24,-34.6037,-58.3816
2025-11-21 21:09:26.284209,PreciosClaros,arroz doble carolina,Arroz Doble Carolina Dos Hermanos 1 Kg,DOS HERMANOS,3700.0,3700.0,3700.0,1.0 kg,7790503008667,1,-34.6037,-58.3816
2025-11-21 21:09:26.284224,PreciosClaros,arroz doble carolina,Arroz Doble Carolina Lucchetti 1 Kg,LUCCHETTI,3783.0,3783.0,3783.0,1.0 kg,7790070431462,2,-34.6037,-58.3816
2025-11-21 21:09:26.284231,PreciosClaros,arroz doble carolina,Arroz Doble Carolina Molinos Ala 1 Kg,MOLINOS ALA,3350.0,3350.0,3350.0,1.0 kg,7791120021558,25,-34.6037,-58.3816
2025-11-21 21:09:26.284272,PreciosClaros,arroz doble carolina,Arroz Doble Carolina Molinos Ala 500 Gr,MOLINOS ALA,1950.0,1950.0,1950.0,500.0 gr,7791120021565,2,-34.6037,-58.3816
2025-11-21 21:09:26.284278,PreciosClaros,arroz doble carolina,Arroz Doble Carolina Seleccion Gallo 1 Kg,GALLO,4650.0,4750.0,4650.0,1.0 kg,7790070431578,4,-34.6037,-58.3816
2025-11-21 21:09:31.618279,PreciosClaros,arroz largo fino,Arroz Largo Fino 0000 Ciudad Del Lago 1 Kg,CIUDAD DEL LAGO,1750.0,1750.0,1750.0,1.0 kg,12-1-2800001326455,2,-34.6037,-58.3816
2025-11-21 21:09:31.618295,PreciosClaros,arroz largo fino,Arroz Largo Fino 00000 Dos Hermanos 1 Kg,DOS HERMANOS,1650.0,1770.0,1650.0,1.0 kg,7790503199082,3,-34.6037,-58.3816
2025-11-21 21:09:31.618301,PreciosClaros,arroz largo fino,Arroz Largo Fino 00000 Molinos Ala 1 Kg,MOLINOS ALA,1250.0,1850.0,1250.0,1.0 kg,7791120031557,25,-34.6037,-58.3816
2025-11-21 21:09:31.618308,PreciosClaros,arroz largo fino,Arroz Largo Fino 00000 Molinos Ala 500 Gr,MOLINOS ALA,790.0,790.0,790.0,500.0 gr,7791120031564,23,-34.6037,-58.3816
2025-11-21 21:09:31.618314,PreciosClaros,arroz largo fino,Arroz Largo Fino 00000 Rojo Carogran 1 Kg,CAROGRAN,1299.0,1299.0,1299.0,1.0 kg,7793650000010,2,-34.6037,-58.3816
2025-11-21 21:09:31.618368,PreciosClaros,arroz largo fino,Arroz Largo Fino 00000 sin TACC Maximo 500 Gr,MÁXIMO,800.0,800.0,800.0,500.0 gr,7790070412171,23,-34.6037,-58.3816
